Country	 Product 	Units Sold	 Manufacturing Price 	 Sale Price 	 Gross Sales 	 Discounts 	  Sales 	 COGS 	 Profit 	Date	 Month Name 	Year	
United Kingdom	 Royal Oak 	2321	 $5.00 	 $7.00 	" $16,247.00 "	 $114.24 	" $16,132.76 "	" $2,720.00 "	" $13,412.76 "	9/1/2019	 September 	2019	
India	 Royal Oak 	3640	 $5.00 	 $350.00 	" $1,274,000.00 "	" $18,868.50 "	" $1,255,131.50 "	" $467,220.00 "	" $787,911.50 "	9/1/2018	 September 	2018	
United Kingdom	 Royal Oak 	3972	 $5.00 	 $125.00 	" $496,500.00 "	" $4,826.25 "	" $491,673.75 "	" $154,440.00 "	" $337,233.75 "	12/1/2019	 December 	2019	
India	 Royal Oak 	3878	 $5.00 	 $125.00 	" $484,750.00 "	" $6,397.50 "	" $478,352.50 "	" $204,720.00 "	" $273,632.50 "	12/1/2019	 December 	2019	
United Kingdom	 Vermont 	2278	 $10.00 	 $300.00 	" $683,400.00 "	" $21,910.50 "	" $661,489.50 "	" $608,625.00 "	" $52,864.50 "	1/1/2019	 January 	2019	
Japan	 Vermont 	1075	 $10.00 	 $125.00 	" $134,375.00 "	" $6,652.50 "	" $127,722.50 "	" $212,880.00 "	" $(85,157.50)"	3/1/2019	 March 	2019	
United Kingdom	 Vermont 	4050	 $10.00 	 $12.00 	" $48,600.00 "	 $684.36 	" $47,915.64 "	" $5,703.00 "	" $42,212.64 "	6/1/2019	 June 	2019	
India	 Vermont 	3035	 $10.00 	 $300.00 	" $910,500.00 "	" $6,201.00 "	" $904,299.00 "	" $172,250.00 "	" $732,049.00 "	6/1/2019	 June 	2019	
India	 Vermont 	3636	 $10.00 	 $125.00 	" $454,500.00 "	" $5,887.50 "	" $448,612.50 "	" $188,400.00 "	" $260,212.50 "	6/1/2019	 June 	2019	
United States of America	 Vermont 	1379	 $10.00 	 $12.00 	" $16,548.00 "	 $493.02 	" $16,054.98 "	" $4,108.50 "	" $11,946.48 "	7/1/2019	 July 	2019	
Japan	 Vermont 	4492	 $10.00 	 $125.00 	" $561,500.00 "	" $7,533.75 "	" $553,966.25 "	" $241,080.00 "	" $312,886.25 "	10/1/2019	 October 	2019	
India	 Vermont 	764	 $10.00 	 $15.00 	" $11,460.00 "	 $875.25 	" $10,584.75 "	" $19,450.00 "	" $(8,865.25)"	10/1/2018	 October 	2018	
United Kingdom	 Vermont 	1744	 $10.00 	 $125.00 	" $218,000.00 "	" $4,826.25 "	" $213,173.75 "	" $154,440.00 "	" $58,733.75 "	12/1/2019	 December 	2019	
India	 Vermont 	2341	 $10.00 	 $125.00 	" $292,625.00 "	" $6,397.50 "	" $286,227.50 "	" $204,720.00 "	" $81,507.50 "	12/1/2019	 December 	2019	
Japan	 Burlington 	3835	 $120.00 	 $125.00 	" $479,375.00 "	" $7,533.75 "	" $471,841.25 "	" $241,080.00 "	" $230,761.25 "	10/1/2019	 October 	2019	
United States of America	 Mandarin 	1161	 $250.00 	 $300.00 	" $348,300.00 "	" $25,596.00 "	" $322,704.00 "	" $711,000.00 "	" $(388,296.00)"	2/1/2019	 February 	2019	
Brazil	 Mandarin 	876	 $250.00 	 $12.00 	" $10,512.00 "	 $689.76 	" $9,822.24 "	" $5,748.00 "	" $4,074.24 "	4/1/2019	 April 	2019	
India	 Mandarin 	1705	 $250.00 	 $125.00 	" $213,125.00 "	" $5,887.50 "	" $207,237.50 "	" $188,400.00 "	" $18,837.50 "	6/1/2019	 June 	2019	
Japan	 Mandarin 	1805	 $250.00 	 $300.00 	" $541,500.00 "	" $16,866.00 "	" $524,634.00 "	" $468,500.00 "	" $56,134.00 "	8/1/2019	 August 	2019	
Brazil	 Mandarin 	389	 $250.00 	 $350.00 	" $136,150.00 "	" $17,241.00 "	" $118,909.00 "	" $426,920.00 "	" $(308,011.00)"	8/1/2019	 August 	2019	
India	 Mandarin 	2745	 $250.00 	 $15.00 	" $41,175.00 "	 $875.25 	" $40,299.75 "	" $19,450.00 "	" $20,849.75 "	10/1/2018	 October 	2018	
Japan	 Kensington 	1459	 $3.00 	 $20.00 	" $29,180.00 "	 $498.60 	" $28,681.40 "	" $8,310.00 "	" $20,371.40 "	5/1/2019	 May 	2019	
Brazil	 Vermont 	3938	 $10.00 	 $7.00 	" $27,566.00 "	 $369.60 	" $27,196.40 "	" $8,800.00 "	" $18,396.40 "	9/1/2018	 September 	2018	
Japan	 Burlington 	4236	 $120.00 	 $20.00 	" $84,720.00 "	" $2,310.30 "	" $82,409.70 "	" $38,505.00 "	" $43,904.70 "	4/1/2019	 April 	2019	
India	 Mandarin 	3627	 $250.00 	 $12.00 	" $43,524.00 "	 $892.44 	" $42,631.56 "	" $7,437.00 "	" $35,194.56 "	1/1/2019	 January 	2019	
Brazil	 Royal Oak 	1756	 $5.00 	 $15.00 	" $26,340.00 "	" $1,218.60 "	" $25,121.40 "	" $20,310.00 "	" $4,811.40 "	10/1/2019	 October 	2019	
Brazil	 Vermont 	307	 $10.00 	 $15.00 	" $4,605.00 "	" $1,218.60 "	" $3,386.40 "	" $20,310.00 "	" $(16,923.60)"	10/1/2019	 October 	2019	
United Kingdom	 Vermont 	4489	 $10.00 	 $15.00 	" $67,335.00 "	" $1,356.60 "	" $65,978.40 "	" $22,610.00 "	" $43,368.40 "	12/1/2018	 December 	2018	
United States of America	 Burlington 	2167	 $120.00 	 $20.00 	" $43,340.00 "	 $588.80 	" $42,751.20 "	" $7,360.00 "	" $35,391.20 "	9/1/2018	 September 	2018	
Japan	 Kensington 	1137	 $3.00 	 $7.00 	" $7,959.00 "	 $798.28 	" $7,160.72 "	" $14,255.00 "	" $(7,094.28)"	10/1/2018	 October 	2018	
India	 Kensington 	1222	 $3.00 	 $300.00 	" $366,600.00 "	" $24,252.00 "	" $342,348.00 "	" $505,250.00 "	" $(162,902.00)"	10/1/2019	 October 	2019	
United States of America	 Kensington 	489	 $3.00 	 $350.00 	" $171,150.00 "	" $3,836.00 "	" $167,314.00 "	" $71,240.00 "	" $96,074.00 "	12/1/2019	 December 	2019	
Japan	 Royal Oak 	4133	 $5.00 	 $15.00 	" $61,995.00 "	" $1,180.20 "	" $60,814.80 "	" $19,670.00 "	" $41,144.80 "	3/1/2019	 March 	2019	
India	 Royal Oak 	2743	 $5.00 	 $300.00 	" $822,900.00 "	" $22,308.00 "	" $800,592.00 "	" $464,750.00 "	" $335,842.00 "	8/1/2019	 August 	2019	
Japan	 Royal Oak 	3699	 $5.00 	 $7.00 	" $25,893.00 "	 $798.28 	" $25,094.72 "	" $14,255.00 "	" $10,839.72 "	10/1/2018	 October 	2018	
India	 Royal Oak 	4460	 $5.00 	 $300.00 	" $1,338,000.00 "	" $24,252.00 "	" $1,313,748.00 "	" $505,250.00 "	" $808,498.00 "	10/1/2019	 October 	2019	
Brazil	 Royal Oak 	1232	 $5.00 	 $125.00 	" $154,000.00 "	" $5,690.00 "	" $148,310.00 "	" $136,560.00 "	" $11,750.00 "	12/1/2019	 December 	2019	
Japan	 Vermont 	2586	 $10.00 	 $7.00 	" $18,102.00 "	" $1,190.28 "	" $16,911.72 "	" $21,255.00 "	" $(4,343.28)"	1/1/2019	 January 	2019	
India	 Vermont 	1332	 $10.00 	 $125.00 	" $166,500.00 "	" $3,975.00 "	" $162,525.00 "	" $95,400.00 "	" $67,125.00 "	3/1/2019	 March 	2019	
India	 Vermont 	4487	 $10.00 	 $300.00 	" $1,346,100.00 "	" $16,974.00 "	" $1,329,126.00 "	" $353,625.00 "	" $975,501.00 "	4/1/2019	 April 	2019	
United States of America	 Vermont 	3862	 $10.00 	 $300.00 	" $1,158,600.00 "	" $35,016.00 "	" $1,123,584.00 "	" $729,500.00 "	" $394,084.00 "	5/1/2019	 May 	2019	
United States of America	 Vermont 	1765	 $10.00 	 $350.00 	" $617,750.00 "	" $48,300.00 "	" $569,450.00 "	" $897,000.00 "	" $(327,550.00)"	7/1/2019	 July 	2019	
United Kingdom	 Vermont 	3533	 $10.00 	 $125.00 	" $441,625.00 "	" $14,940.00 "	" $426,685.00 "	" $358,560.00 "	" $68,125.00 "	7/1/2019	 July 	2019	
Japan	 Vermont 	2016	 $10.00 	 $15.00 	" $30,240.00 "	 $130.80 	" $30,109.20 "	" $2,180.00 "	" $27,929.20 "	9/1/2019	 September 	2019	
Japan	 Vermont 	2938	 $10.00 	 $20.00 	" $58,760.00 "	" $1,659.20 "	" $57,100.80 "	" $20,740.00 "	" $36,360.80 "	9/1/2019	 September 	2019	
United States of America	 Vermont 	3352	 $10.00 	 $20.00 	" $67,040.00 "	 $844.80 	" $66,195.20 "	" $10,560.00 "	" $55,635.20 "	9/1/2019	 September 	2019	
United States of America	 Vermont 	4409	 $10.00 	 $15.00 	" $66,135.00 "	 $402.60 	" $65,732.40 "	" $6,710.00 "	" $59,022.40 "	10/1/2018	 October 	2018	
Brazil	 Vermont 	3323	 $10.00 	 $15.00 	" $49,845.00 "	 $908.40 	" $48,936.60 "	" $15,140.00 "	" $33,796.60 "	10/1/2018	 October 	2018	
United States of America	 Vermont 	2430	 $10.00 	 $350.00 	" $850,500.00 "	" $3,836.00 "	" $846,664.00 "	" $71,240.00 "	" $775,424.00 "	12/1/2019	 December 	2019	
Brazil	 Vermont 	535	 $10.00 	 $125.00 	" $66,875.00 "	" $5,690.00 "	" $61,185.00 "	" $136,560.00 "	" $(75,375.00)"	12/1/2019	 December 	2019	
United States of America	 Burlington 	1523	 $120.00 	 $12.00 	" $18,276.00 "	 $703.20 	" $17,572.80 "	" $4,395.00 "	" $13,177.80 "	3/1/2019	 March 	2019	
Japan	 Burlington 	3631	 $120.00 	 $20.00 	" $72,620.00 "	" $2,116.80 "	" $70,503.20 "	" $26,460.00 "	" $44,043.20 "	9/1/2018	 September 	2018	
United Kingdom	 Burlington 	1782	 $120.00 	 $350.00 	" $623,700.00 "	" $30,478.00 "	" $593,222.00 "	" $566,020.00 "	" $27,202.00 "	10/1/2019	 October 	2019	
United Kingdom	 Mandarin 	347	 $250.00 	 $12.00 	" $4,164.00 "	 $415.68 	" $3,748.32 "	" $2,598.00 "	" $1,150.32 "	5/1/2019	 May 	2019	
United States of America	 Mandarin 	4147	 $250.00 	 $350.00 	" $1,451,450.00 "	" $4,886.00 "	" $1,446,564.00 "	" $90,740.00 "	" $1,355,824.00 "	9/1/2018	 September 	2018	
United Kingdom	 Mandarin 	3509	 $250.00 	 $350.00 	" $1,228,150.00 "	" $30,478.00 "	" $1,197,672.00 "	" $566,020.00 "	" $631,652.00 "	10/1/2019	 October 	2019	
Brazil	 Mandarin 	2774	 $250.00 	 $15.00 	" $41,610.00 "	 $908.40 	" $40,701.60 "	" $15,140.00 "	" $25,561.60 "	10/1/2018	 October 	2018	
Brazil	 Luxe 	2943	 $260.00 	 $350.00 	" $1,030,050.00 "	" $26,110.00 "	" $1,003,940.00 "	" $484,900.00 "	" $519,040.00 "	2/1/2019	 February 	2019	
Brazil	 Luxe 	4037	 $260.00 	 $125.00 	" $504,625.00 "	" $5,370.00 "	" $499,255.00 "	" $128,880.00 "	" $370,375.00 "	4/1/2019	 April 	2019	
India	 Luxe 	4146	 $260.00 	 $350.00 	" $1,451,100.00 "	" $26,698.00 "	" $1,424,402.00 "	" $495,820.00 "	" $928,582.00 "	9/1/2019	 September 	2019	
United States of America	 Luxe 	4123	 $260.00 	 $15.00 	" $61,845.00 "	 $402.60 	" $61,442.40 "	" $6,710.00 "	" $54,732.40 "	10/1/2018	 October 	2018	
Japan	 Luxe 	1337	 $260.00 	 $350.00 	" $467,950.00 "	" $24,892.00 "	" $443,058.00 "	" $462,280.00 "	" $(19,222.00)"	12/1/2018	 December 	2018	
India	 Royal Oak 	599	 $5.00 	 $7.00 	" $4,193.00 "	 $405.65 	" $3,787.35 "	" $5,795.00 "	" $(2,007.65)"	10/1/2018	 October 	2018	
India	 Vermont 	725	 $10.00 	 $7.00 	" $5,075.00 "	 $480.20 	" $4,594.80 "	" $6,860.00 "	" $(2,265.20)"	1/1/2019	 January 	2019	
Japan	 Vermont 	477	 $10.00 	 $7.00 	" $3,339.00 "	 $822.15 	" $2,516.85 "	" $11,745.00 "	" $(9,228.15)"	9/1/2018	 September 	2018	
Brazil	 Vermont 	2325	 $10.00 	 $7.00 	" $16,275.00 "	 $941.15 	" $15,333.85 "	" $13,445.00 "	" $1,888.85 "	10/1/2019	 October 	2019	
Japan	 Vermont 	675	 $10.00 	 $12.00 	" $8,100.00 "	" $1,458.60 "	" $6,641.40 "	" $7,293.00 "	 $(651.60)	12/1/2019	 December 	2019	
Japan	 Burlington 	2990	 $120.00 	 $12.00 	" $35,880.00 "	" $1,458.60 "	" $34,421.40 "	" $7,293.00 "	" $27,128.40 "	12/1/2019	 December 	2019	
Brazil	 Mandarin 	1072	 $250.00 	 $7.00 	" $7,504.00 "	 $941.15 	" $6,562.85 "	" $13,445.00 "	" $(6,882.15)"	10/1/2019	 October 	2019	
Brazil	 Luxe 	1048	 $260.00 	 $7.00 	" $7,336.00 "	 $589.05 	" $6,746.95 "	" $8,415.00 "	" $(1,668.05)"	7/1/2019	 July 	2019	
Brazil	 Luxe 	469	 $260.00 	 $12.00 	" $5,628.00 "	 $673.80 	" $4,954.20 "	" $3,369.00 "	" $1,585.20 "	8/1/2019	 August 	2019	
India	 Luxe 	804	 $260.00 	 $7.00 	" $5,628.00 "	 $405.65 	" $5,222.35 "	" $5,795.00 "	 $(572.65)	10/1/2018	 October 	2018	
United Kingdom	 Kensington 	4240	 $3.00 	 $12.00 	" $50,880.00 "	" $1,119.00 "	" $49,761.00 "	" $5,595.00 "	" $44,166.00 "	2/1/2019	 February 	2019	
India	 Kensington 	1976	 $3.00 	 $12.00 	" $23,712.00 "	 $669.60 	" $23,042.40 "	" $3,348.00 "	" $19,694.40 "	2/1/2019	 February 	2019	
United Kingdom	 Kensington 	1984	 $3.00 	 $20.00 	" $39,680.00 "	" $1,563.00 "	" $38,117.00 "	" $15,630.00 "	" $22,487.00 "	5/1/2019	 May 	2019	
United States of America	 Kensington 	480	 $3.00 	 $300.00 	" $144,000.00 "	" $14,865.00 "	" $129,135.00 "	" $247,750.00 "	" $(118,615.00)"	6/1/2019	 June 	2019	
India	 Kensington 	3551	 $3.00 	 $7.00 	" $24,857.00 "	 $355.60 	" $24,501.40 "	" $5,080.00 "	" $19,421.40 "	11/1/2018	 November 	2018	
Brazil	 Kensington 	1205	 $3.00 	 $15.00 	" $18,075.00 "	" $2,093.25 "	" $15,981.75 "	" $27,910.00 "	" $(11,928.25)"	11/1/2019	 November 	2019	
United States of America	 Kensington 	2480	 $3.00 	 $7.00 	" $17,360.00 "	 $199.50 	" $17,160.50 "	" $2,850.00 "	" $14,310.50 "	12/1/2019	 December 	2019	
United Kingdom	 Kensington 	2926	 $3.00 	 $7.00 	" $20,482.00 "	 $870.45 	" $19,611.55 "	" $12,435.00 "	" $7,176.55 "	12/1/2019	 December 	2019	
United Kingdom	 Royal Oak 	3210	 $5.00 	 $350.00 	" $1,123,500.00 "	" $24,228.75 "	" $1,099,271.25 "	" $359,970.00 "	" $739,301.25 "	1/1/2019	 January 	2019	
United States of America	 Royal Oak 	3221	 $5.00 	 $125.00 	" $402,625.00 "	" $22,668.75 "	" $379,956.25 "	" $435,240.00 "	" $(55,283.75)"	7/1/2019	 July 	2019	
Brazil	 Royal Oak 	2389	 $5.00 	 $350.00 	" $836,150.00 "	" $12,600.00 "	" $823,550.00 "	" $187,200.00 "	" $636,350.00 "	9/1/2018	 September 	2018	
India	 Royal Oak 	1127	 $5.00 	 $12.00 	" $13,524.00 "	" $1,405.20 "	" $12,118.80 "	" $7,026.00 "	" $5,092.80 "	11/1/2019	 November 	2019	
Brazil	 Royal Oak 	319	 $5.00 	 $300.00 	" $95,700.00 "	" $16,500.00 "	" $79,200.00 "	" $275,000.00 "	" $(195,800.00)"	12/1/2018	 December 	2018	
United Kingdom	 Vermont 	1610	 $10.00 	 $20.00 	" $32,200.00 "	" $1,303.00 "	" $30,897.00 "	" $13,030.00 "	" $17,867.00 "	2/1/2019	 February 	2019	
United States of America	 Vermont 	4100	 $10.00 	 $125.00 	" $512,500.00 "	" $18,700.00 "	" $493,800.00 "	" $359,040.00 "	" $134,760.00 "	3/1/2019	 March 	2019	
United Kingdom	 Vermont 	1012	 $10.00 	 $125.00 	" $126,500.00 "	" $14,906.25 "	" $111,593.75 "	" $286,200.00 "	" $(174,606.25)"	3/1/2019	 March 	2019	
Brazil	 Vermont 	3337	 $10.00 	 $300.00 	" $1,001,100.00 "	" $24,105.00 "	" $976,995.00 "	" $401,750.00 "	" $575,245.00 "	4/1/2019	 April 	2019	
United States of America	 Vermont 	3955	 $10.00 	 $7.00 	" $27,685.00 "	 $814.45 	" $26,870.55 "	" $11,635.00 "	" $15,235.55 "	5/1/2019	 May 	2019	
United States of America	 Vermont 	4347	 $10.00 	 $300.00 	" $1,304,100.00 "	" $14,865.00 "	" $1,289,235.00 "	" $247,750.00 "	" $1,041,485.00 "	6/1/2019	 June 	2019	
United States of America	 Vermont 	1548	 $10.00 	 $350.00 	" $541,800.00 "	" $10,535.00 "	" $531,265.00 "	" $156,520.00 "	" $374,745.00 "	6/1/2019	 June 	2019	
United Kingdom	 Vermont 	2153	 $10.00 	 $15.00 	" $32,295.00 "	" $1,965.00 "	" $30,330.00 "	" $26,200.00 "	" $4,130.00 "	9/1/2019	 September 	2019	
Japan	 Vermont 	3789	 $10.00 	 $350.00 	" $1,326,150.00 "	" $21,490.00 "	" $1,304,660.00 "	" $319,280.00 "	" $985,380.00 "	10/1/2018	 October 	2018	
Japan	 Vermont 	4364	 $10.00 	 $20.00 	" $87,280.00 "	" $1,389.00 "	" $85,891.00 "	" $13,890.00 "	" $72,001.00 "	10/1/2018	 October 	2018	
United States of America	 Vermont 	4126	 $10.00 	 $125.00 	" $515,750.00 "	" $5,381.25 "	" $510,368.75 "	" $103,320.00 "	" $407,048.75 "	10/1/2019	 October 	2019	
United Kingdom	 Vermont 	1343	 $10.00 	 $125.00 	" $167,875.00 "	" $4,400.00 "	" $163,475.00 "	" $84,480.00 "	" $78,995.00 "	10/1/2018	 October 	2018	
Japan	 Vermont 	245	 $10.00 	 $20.00 	" $4,900.00 "	" $1,802.00 "	" $3,098.00 "	" $18,020.00 "	" $(14,922.00)"	12/1/2018	 December 	2018	
United States of America	 Vermont 	3376	 $10.00 	 $20.00 	" $67,520.00 "	" $2,663.00 "	" $64,857.00 "	" $26,630.00 "	" $38,227.00 "	12/1/2019	 December 	2019	
United Kingdom	 Vermont 	1401	 $10.00 	 $7.00 	" $9,807.00 "	 $747.60 	" $9,059.40 "	" $10,680.00 "	" $(1,620.60)"	12/1/2018	 December 	2018	
India	 Vermont 	3483	 $10.00 	 $15.00 	" $52,245.00 "	" $1,587.00 "	" $50,658.00 "	" $21,160.00 "	" $29,498.00 "	12/1/2018	 December 	2018	
United States of America	 Burlington 	2244	 $120.00 	 $15.00 	" $33,660.00 "	 $416.25 	" $33,243.75 "	" $5,550.00 "	" $27,693.75 "	1/1/2019	 January 	2019	
Brazil	 Burlington 	1360	 $120.00 	 $15.00 	" $20,400.00 "	" $2,145.75 "	" $18,254.25 "	" $28,610.00 "	" $(10,355.75)"	1/1/2019	 January 	2019	
India	 Burlington 	279	 $120.00 	 $125.00 	" $34,875.00 "	" $5,043.75 "	" $29,831.25 "	" $96,840.00 "	" $(67,008.75)"	2/1/2019	 February 	2019	
United States of America	 Burlington 	2521	 $120.00 	 $350.00 	" $882,350.00 "	" $10,535.00 "	" $871,815.00 "	" $156,520.00 "	" $715,295.00 "	6/1/2019	 June 	2019	
United States of America	 Burlington 	2433	 $120.00 	 $20.00 	" $48,660.00 "	" $2,832.00 "	" $45,828.00 "	" $28,320.00 "	" $17,508.00 "	8/1/2019	 August 	2019	
United Kingdom	 Burlington 	1738	 $120.00 	 $20.00 	" $34,760.00 "	" $1,579.00 "	" $33,181.00 "	" $15,790.00 "	" $17,391.00 "	8/1/2019	 August 	2019	
United States of America	 Burlington 	1106	 $120.00 	 $125.00 	" $138,250.00 "	" $5,381.25 "	" $132,868.75 "	" $103,320.00 "	" $29,548.75 "	10/1/2019	 October 	2019	
United Kingdom	 Burlington 	3379	 $120.00 	 $125.00 	" $422,375.00 "	" $4,400.00 "	" $417,975.00 "	" $84,480.00 "	" $333,495.00 "	10/1/2018	 October 	2018	
United Kingdom	 Burlington 	1221	 $120.00 	 $20.00 	" $24,420.00 "	" $1,033.00 "	" $23,387.00 "	" $10,330.00 "	" $13,057.00 "	12/1/2018	 December 	2018	
India	 Burlington 	213	 $120.00 	 $300.00 	" $63,900.00 "	" $18,750.00 "	" $45,150.00 "	" $312,500.00 "	" $(267,350.00)"	12/1/2019	 December 	2019	
Japan	 Mandarin 	3335	 $250.00 	 $20.00 	" $66,700.00 "	" $1,389.00 "	" $65,311.00 "	" $13,890.00 "	" $51,421.00 "	10/1/2018	 October 	2018	
United States of America	 Mandarin 	1260	 $250.00 	 $20.00 	" $25,200.00 "	" $1,265.00 "	" $23,935.00 "	" $12,650.00 "	" $11,285.00 "	11/1/2018	 November 	2018	
India	 Mandarin 	3034	 $250.00 	 $20.00 	" $60,680.00 "	" $2,297.00 "	" $58,383.00 "	" $22,970.00 "	" $35,413.00 "	11/1/2018	 November 	2018	
United States of America	 Mandarin 	2929	 $250.00 	 $20.00 	" $58,580.00 "	" $2,663.00 "	" $55,917.00 "	" $26,630.00 "	" $29,287.00 "	12/1/2019	 December 	2019	
United States of America	 Mandarin 	2389	 $250.00 	 $7.00 	" $16,723.00 "	 $199.50 	" $16,523.50 "	" $2,850.00 "	" $13,673.50 "	12/1/2019	 December 	2019	
United Kingdom	 Mandarin 	3086	 $250.00 	 $7.00 	" $21,602.00 "	 $870.45 	" $20,731.55 "	" $12,435.00 "	" $8,296.55 "	12/1/2019	 December 	2019	
India	 Luxe 	745	 $260.00 	 $350.00 	" $260,750.00 "	" $23,625.00 "	" $237,125.00 "	" $351,000.00 "	" $(113,875.00)"	2/1/2019	 February 	2019	
Japan	 Luxe 	1266	 $260.00 	 $350.00 	" $443,100.00 "	" $9,660.00 "	" $433,440.00 "	" $143,520.00 "	" $289,920.00 "	8/1/2019	 August 	2019	
Japan	 Luxe 	3790	 $260.00 	 $350.00 	" $1,326,500.00 "	" $21,490.00 "	" $1,305,010.00 "	" $319,280.00 "	" $985,730.00 "	10/1/2018	 October 	2018	
India	 Luxe 	4287	 $260.00 	 $300.00 	" $1,286,100.00 "	" $18,750.00 "	" $1,267,350.00 "	" $312,500.00 "	" $954,850.00 "	12/1/2019	 December 	2019	
United Kingdom	 Vermont 	3193	 $10.00 	 $15.00 	" $47,895.00 "	" $3,420.90 "	" $44,474.10 "	" $38,010.00 "	" $6,464.10 "	4/1/2019	 April 	2019	
United States of America	 Kensington 	1967	 $3.00 	 $20.00 	" $39,340.00 "	" $1,341.00 "	" $37,999.00 "	" $11,175.00 "	" $26,824.00 "	1/1/2019	 January 	2019	
Japan	 Kensington 	631	 $3.00 	 $15.00 	" $9,465.00 "	" $2,559.60 "	" $6,905.40 "	" $28,440.00 "	" $(21,534.60)"	6/1/2019	 June 	2019	
Brazil	 Kensington 	3469	 $3.00 	 $12.00 	" $41,628.00 "	 $404.64 	" $41,223.36 "	" $1,686.00 "	" $39,537.36 "	9/1/2019	 September 	2019	
Japan	 Kensington 	570	 $3.00 	 $12.00 	" $6,840.00 "	" $1,655.28 "	" $5,184.72 "	" $6,897.00 "	" $(1,712.28)"	10/1/2018	 October 	2018	
United States of America	 Kensington 	3215	 $3.00 	 $15.00 	" $48,225.00 "	" $1,827.00 "	" $46,398.00 "	" $20,300.00 "	" $26,098.00 "	11/1/2019	 November 	2019	
United States of America	 Kensington 	3754	 $3.00 	 $7.00 	" $26,278.00 "	 $110.46 	" $26,167.54 "	" $1,315.00 "	" $24,852.54 "	11/1/2018	 November 	2018	
India	 Kensington 	2187	 $3.00 	 $125.00 	" $273,375.00 "	" $6,652.50 "	" $266,722.50 "	" $106,440.00 "	" $160,282.50 "	12/1/2018	 December 	2018	
Brazil	 Royal Oak 	1959	 $5.00 	 $350.00 	" $685,650.00 "	" $20,580.00 "	" $665,070.00 "	" $254,800.00 "	" $410,270.00 "	4/1/2019	 April 	2019	
India	 Royal Oak 	2181	 $5.00 	 $350.00 	" $763,350.00 "	" $30,660.00 "	" $732,690.00 "	" $379,600.00 "	" $353,090.00 "	5/1/2019	 May 	2019	
United Kingdom	 Royal Oak 	3559	 $5.00 	 $7.00 	" $24,913.00 "	 $589.26 	" $24,323.74 "	" $7,015.00 "	" $17,308.74 "	10/1/2018	 October 	2018	
United States of America	 Royal Oak 	2205	 $5.00 	 $12.00 	" $26,460.00 "	" $1,960.56 "	" $24,499.44 "	" $8,169.00 "	" $16,330.44 "	11/1/2019	 November 	2019	
United Kingdom	 Vermont 	1890	 $10.00 	 $350.00 	" $661,500.00 "	" $31,416.00 "	" $630,084.00 "	" $388,960.00 "	" $241,124.00 "	6/1/2019	 June 	2019	
Japan	 Vermont 	1296	 $10.00 	 $12.00 	" $15,552.00 "	" $1,655.28 "	" $13,896.72 "	" $6,897.00 "	" $6,999.72 "	10/1/2018	 October 	2018	
United States of America	 Vermont 	775	 $10.00 	 $350.00 	" $271,250.00 "	" $15,267.00 "	" $255,983.00 "	" $189,020.00 "	" $66,963.00 "	10/1/2018	 October 	2018	
Japan	 Burlington 	2417	 $120.00 	 $125.00 	" $302,125.00 "	" $7,140.00 "	" $294,985.00 "	" $114,240.00 "	" $180,745.00 "	2/1/2019	 February 	2019	
United States of America	 Burlington 	1158	 $120.00 	 $125.00 	" $144,750.00 "	" $20,662.50 "	" $124,087.50 "	" $330,600.00 "	" $(206,512.50)"	2/1/2019	 February 	2019	
India	 Burlington 	803	 $120.00 	 $15.00 	" $12,045.00 "	" $1,377.00 "	" $10,668.00 "	" $15,300.00 "	" $(4,632.00)"	5/1/2019	 May 	2019	
United Kingdom	 Burlington 	3705	 $120.00 	 $350.00 	" $1,296,750.00 "	" $31,416.00 "	" $1,265,334.00 "	" $388,960.00 "	" $876,374.00 "	6/1/2019	 June 	2019	
Brazil	 Burlington 	589	 $120.00 	 $7.00 	" $4,123.00 "	 $629.16 	" $3,493.84 "	" $7,490.00 "	" $(3,996.16)"	6/1/2019	 June 	2019	
United Kingdom	 Burlington 	3797	 $120.00 	 $300.00 	" $1,139,100.00 "	" $21,978.00 "	" $1,117,122.00 "	" $305,250.00 "	" $811,872.00 "	10/1/2018	 October 	2018	
United Kingdom	 Burlington 	1321	 $120.00 	 $350.00 	" $462,350.00 "	" $43,596.00 "	" $418,754.00 "	" $539,760.00 "	" $(121,006.00)"	10/1/2018	 October 	2018	
Japan	 Mandarin 	3999	 $250.00 	 $15.00 	" $59,985.00 "	" $2,559.60 "	" $57,425.40 "	" $28,440.00 "	" $28,985.40 "	6/1/2019	 June 	2019	
Brazil	 Mandarin 	4256	 $250.00 	 $7.00 	" $29,792.00 "	 $629.16 	" $29,162.84 "	" $7,490.00 "	" $21,672.84 "	6/1/2019	 June 	2019	
United Kingdom	 Mandarin 	1643	 $250.00 	 $300.00 	" $492,900.00 "	" $21,978.00 "	" $470,922.00 "	" $305,250.00 "	" $165,672.00 "	10/1/2018	 October 	2018	
Brazil	 Mandarin 	1912	 $250.00 	 $20.00 	" $38,240.00 "	" $1,347.60 "	" $36,892.40 "	" $11,230.00 "	" $25,662.40 "	11/1/2018	 November 	2018	
Japan	 Mandarin 	1610	 $250.00 	 $300.00 	" $483,000.00 "	" $43,848.00 "	" $439,152.00 "	" $609,000.00 "	" $(169,848.00)"	12/1/2018	 December 	2018	
